Country Name,Date,Business: Mobile phone subscribers,Business: Internet users (per 100 people),"Health: Mortality, under-5 (per 1,000 live births)",Population: Total (count),Finance: GDP per capita (current US$),Mobile subscribers per capita,log(GDP per capita),log(Health: mortality under-5),Region
Guinea,7/1/2010,4000000,1,130,9981590,474,0.40074,6.16121,4.86753,Africa
Uganda,7/1/2010,12828264,13,99,33424683,515,0.38380,6.24417,4.59512,Africa
Tanzania,7/1/2010,20983853,11,92,44841226,527,0.46796,6.26720,4.52179,Africa
Togo,7/1/2010,2452433,5,103,6027798,527,0.40685,6.26720,4.63473,Africa
Rwanda,7/1/2010,3548761,13,91,10624005,529,0.33403,6.27099,4.51086,Africa
Burkina Faso,7/1/2010,5707850,1,176,16468714,536,0.34659,6.28413,5.17048,Africa
Guinea-Bissau,7/1/2010,594100,2,150,1515224,551,0.39209,6.31173,5.01064,Africa
Zimbabwe,7/1/2010,7700000,12,80,12571454,595,0.61250,6.38856,4.38203,Africa
"Gambia, The",7/1/2010,1478347,9,98,1728394,608,0.85533,6.41017,4.58497,Africa
Mali,7/1/2010,7440383,3,178,15369809,613,0.48409,6.41836,5.18178,Africa
Comoros,7/1/2010,165278,5,86,734750,736,0.22494,6.60123,4.45435,Africa
Benin,7/1/2010,7074914,3,115,8849892,741,0.79944,6.60800,4.74493,Africa
Chad,7/1/2010,2675330,2,173,11227208,761,0.23829,6.63463,5.15329,Africa
Kenya,7/1/2010,24968891,26,85,40512682,795,0.61632,6.67834,4.44265,Africa
Lesotho,7/1/2010,987448,4,85,2171318,1004,0.45477,6.91175,4.44265,Africa
Senegal,7/1/2010,8343717,16,75,12433728,1034,0.67106,6.94119,4.31749,Africa
Mauritania,7/1/2010,2744978,3,111,3459773,1045,0.79340,6.95177,4.70953,Africa
Cameroon,7/1/2010,8636652,4,136,19598889,1147,0.44067,7.04491,4.91265,Africa
Cote d'Ivoire,7/1/2010,15026810,3,123,19737800,1161,0.76132,7.05704,4.81218,Africa
Sao Tome and Principe,7/1/2010,102497,19,80,165397,1215,0.61970,7.10250,4.38203,Africa
Nigeria,7/1/2010,87297789,28,143,158423182,1242,0.55104,7.12448,4.96284,Africa
Zambia,7/1/2010,5446991,10,111,12926409,1253,0.42138,7.13330,4.70953,Africa
Ghana,7/1/2010,17436949,10,74,24391823,1319,0.71487,7.18463,4.30407,Africa
"Egypt, Arab Rep.",7/1/2010,70661005,27,22,81121077,2698,0.87106,7.90027,3.09104,Africa
Morocco,7/1/2010,31982279,49,36,31951412,2795,1.00097,7.93559,3.58352,Africa
"Congo, Rep.",7/1/2010,3798619,5,93,4042899,2970,0.93958,7.99632,4.53260,Africa
Cape Verde,7/1/2010,371871,30,36,495999,3345,0.74974,8.11522,3.58352,Africa
Swaziland,7/1/2010,732700,9,78,1055506,3503,0.69417,8.16138,4.35671,Africa
Tunisia,7/1/2010,11114206,37,16,10549100,4194,1.05357,8.34141,2.77259,Africa
Angola,7/1/2010,8909200,10,161,19081912,4322,0.46689,8.37147,5.08140,Africa
Algeria,7/1/2010,32780165,13,36,35468208,4567,0.92421,8.42661,3.58352,Africa
Namibia,7/1/2010,1534528,7,40,2283289,4876,0.67207,8.49208,3.68888,Africa
South Africa,7/1/2010,50372000,12,57,49991300,7272,1.00762,8.89179,4.04305,Africa
Botswana,7/1/2010,2363411,6,48,2006945,7427,1.17762,8.91288,3.87120,Africa
Mauritius,7/1/2010,1190900,29,15,1280924,7584,0.92972,8.93380,2.70805,Africa
Gabon,7/1/2010,1610000,7,74,1505463,8768,1.06944,9.07886,4.30407,Africa
Seychelles,7/1/2010,117587,41,14,86525,11130,1.35899,9.31740,2.63906,Africa
Equatorial Guinea,7/1/2010,399290,6,121,700401,20703,0.57009,9.93803,4.79579,Africa
Afghanistan,7/1/2010,13000000,4,149,34385068,501,0.37807,6.21661,5.00395,Asia
Nepal,7/1/2010,9195562,8,50,29959364,535,0.30693,6.28227,3.91202,Asia
Bangladesh,7/1/2010,68650000,4,48,148692131,675,0.46169,6.51471,3.87120,Asia
Timor-Leste,7/1/2010,600600,0,81,1142502,766,0.52569,6.64118,4.39445,Asia
Cambodia,7/1/2010,8150764,1,51,14138255,795,0.57650,6.67834,3.93183,Asia
Tajikistan,7/1/2010,5940842,12,63,6878637,820,0.86367,6.70930,4.14313,Asia
Kyrgyz Republic,7/1/2010,5275477,20,38,5447900,880,0.96835,6.77992,3.63759,Asia
Pakistan,7/1/2010,99185844,17,87,173593383,1019,0.57137,6.92658,4.46591,Asia
Lao PDR,7/1/2010,4003395,7,54,6200894,1158,0.64562,7.05445,3.98898,Asia
Vietnam,7/1/2010,154000000,28,23,86927700,1224,1.77159,7.10988,3.13549,Asia
India,7/1/2010,752190000,8,63,1224614327,1375,0.61423,7.22621,4.14313,Asia
Uzbekistan,7/1/2010,20952000,19,52,28562400,1377,0.73355,7.22766,3.95124,Asia
Bhutan,7/1/2010,394316,14,56,725940,2088,0.54318,7.64396,4.02535,Asia
Philippines,7/1/2010,79895646,25,29,93260798,2140,0.85669,7.66856,3.36730,Asia
Mongolia,7/1/2010,2510470,13,32,2756001,2250,0.91091,7.71869,3.46574,Asia
Sri Lanka,7/1/2010,17359312,12,17,20653000,2400,0.84052,7.78322,2.83321,Asia
Georgia,7/1/2010,3980000,26,22,4452800,2614,0.89382,7.86864,3.09104,Asia
Indonesia,7/1/2010,220000000,10,35,239870937,2952,0.91716,7.99024,3.55535,Asia
Armenia,7/1/2010,3865354,44,20,3092072,3031,1.25009,8.01665,2.99573,Asia
Turkmenistan,7/1/2010,3197624,2,56,5041995,3967,0.63420,8.28577,4.02535,Asia
China,7/1/2010,859003000,34,18,1337825000,4433,0.64209,8.39683,2.89037,Asia
Thailand,7/1/2010,71624172,21,13,69122234,4614,1.03620,8.43685,2.56495,Asia
Azerbaijan,7/1/2010,9100113,47,46,9054332,5843,1.00506,8.67300,3.82864,Asia
Maldives,7/1/2010,494351,28,15,315885,6570,1.56497,8.79027,2.70805,Asia
Malaysia,7/1/2010,33859000,56,6,28401017,8373,1.19218,9.03277,1.79176,Asia
Kazakhstan,7/1/2010,19402600,33,33,16323287,9070,1.18865,9.11273,3.49651,Asia
"Korea, Rep.",7/1/2010,50767241,82,5,49410000,20540,1.02747,9.93013,1.60944,Asia
Brunei Darussalam,7/1/2010,435104,50,7,398920,31008,1.09070,10.34200,1.94591,Asia
Singapore,7/1/2010,7384600,71,3,5076700,41987,1.45461,10.64512,1.09861,Asia
Japan,7/1/2010,120708670,78,3,127450459,43063,0.94710,10.67042,1.09861,Asia
Moldova,7/1/2010,3165052,40,19,3562062,1632,0.88854,7.39756,2.94444,Europe
Ukraine,7/1/2010,53919545,45,13,45870700,2974,1.17547,7.99766,2.56495,Europe
Albania,7/1/2010,4547807,45,18,3204284,3701,1.41929,8.21636,2.89037,Europe
Bosnia and Herzegovina,7/1/2010,3110233,52,8,3760149,4427,0.82716,8.39548,2.07944,Europe
"Macedonia, FYR",7/1/2010,2153425,52,12,2060563,4434,1.04507,8.39706,2.48491,Europe
Serbia,7/1/2010,9915348,43,7,7291436,5273,1.35986,8.57035,1.94591,Europe
Belarus,7/1/2010,10332900,32,6,9490000,5819,1.08882,8.66888,1.79176,Europe
Bulgaria,7/1/2010,10199942,46,13,7534289,6335,1.35380,8.75385,2.56495,Europe
Montenegro,7/1/2010,1170000,52,8,631490,6510,1.85276,8.78109,2.07944,Europe
Romania,7/1/2010,24640000,40,14,21438001,7539,1.14936,8.92784,2.63906,Europe
Turkey,7/1/2010,61769635,40,18,72752325,10050,0.84904,9.21533,2.89037,Europe
Russian Federation,7/1/2010,237689224,43,12,141920000,10481,1.67481,9.25732,2.48491,Europe
Latvia,7/1/2010,2306100,72,10,2239008,10723,1.02997,9.28015,2.30259,Europe
Lithuania,7/1/2010,4890979,63,7,3286820,11046,1.48806,9.30982,1.94591,Europe
Poland,7/1/2010,46952111,62,6,38183683,12303,1.22964,9.41760,1.79176,Europe
Hungary,7/1/2010,12011823,65,6,10000023,12863,1.20118,9.46211,1.79176,Europe
Croatia,7/1/2010,6362106,60,6,4418000,13774,1.44004,9.53054,1.79176,Europe
Estonia,7/1/2010,1652809,74,5,1340161,14045,1.23329,9.55002,1.60944,Europe
Slovak Republic,7/1/2010,5925012,80,8,5430099,16036,1.09114,9.68259,2.07944,Europe
Czech Republic,7/1/2010,14392964,69,4,10519792,18789,1.36818,9.84103,1.38629,Europe
Malta,7/1/2010,455414,63,6,415995,19625,1.09476,9.88456,1.79176,Europe
Portugal,7/1/2010,15194897,51,4,10637346,21358,1.42845,9.96918,1.38629,Europe
Slovenia,7/1/2010,2121950,69,3,2048583,22898,1.03581,10.03880,1.09861,Europe
Greece,7/1/2010,12292716,45,4,11315508,26433,1.08636,10.18237,1.38629,Europe
Cyprus,7/1/2010,1034071,53,4,1103647,28779,0.93696,10.26740,1.38629,Europe
Spain,7/1/2010,51601028,66,5,46070971,30026,1.12003,10.30982,1.60944,Europe
Italy,7/1/2010,90605000,54,4,60483385,33788,1.49801,10.42786,1.38629,Europe
United Kingdom,7/1/2010,81115492,85,5,62231336,36186,1.30345,10.49643,1.60944,Europe
France,7/1/2010,63200000,77,4,65075569,39170,0.97118,10.57567,1.38629,Europe
Iceland,7/1/2010,341077,96,2,318041,39463,1.07243,10.58312,0.69315,Europe
Germany,7/1/2010,104560000,83,4,81776930,39852,1.27860,10.59293,1.38629,Europe
Belgium,7/1/2010,12154041,74,4,10895785,42833,1.11548,10.66506,1.38629,Europe
Finland,7/1/2010,8390000,87,3,5363352,44091,1.56432,10.69401,1.09861,Europe
Austria,7/1/2010,12241000,73,4,8389771,44885,1.45904,10.71186,1.38629,Europe
Ireland,7/1/2010,4701474,70,4,4474356,45873,1.05076,10.73363,1.38629,Europe
Netherlands,7/1/2010,19179000,91,4,16615394,46597,1.15429,10.74929,1.38629,Europe
Sweden,7/1/2010,10885406,90,3,9378126,49257,1.16072,10.80481,1.09861,Europe
Denmark,7/1/2010,6922468,89,4,5547683,56278,1.24781,10.93806,1.38629,Europe
Switzerland,7/1/2010,9527000,82,5,7826153,67644,1.21733,11.12201,1.60944,Europe
Norway,7/1/2010,5648673,93,3,4889252,85443,1.15532,11.35560,1.09861,Europe
Luxembourg,7/1/2010,727000,90,3,506953,104512,1.43406,11.55706,1.09861,Europe
"Yemen, Rep.",7/1/2010,11085000,12,77,24052514,1291,0.46087,7.16317,4.34381,Middle East
Iraq,7/1/2010,24000000,2,39,32030823,2532,0.74928,7.83676,3.66356,Middle East
Syrian Arab Republic,7/1/2010,11799212,21,16,20446609,2893,0.57707,7.97005,2.77259,Middle East
Jordan,7/1/2010,6620000,39,22,6047000,4370,1.09476,8.38252,3.09104,Middle East
Lebanon,7/1/2010,2874766,31,22,4227597,9227,0.68000,9.12989,3.09104,Middle East
Saudi Arabia,7/1/2010,51564375,41,18,27448086,16423,1.87861,9.70644,2.89037,Middle East
Bahrain,7/1/2010,1567000,55,10,1261835,18184,1.24184,9.80830,2.30259,Middle East
Oman,7/1/2010,4606133,62,9,2782435,20791,1.65543,9.94228,2.19722,Middle East
Israel,7/1/2010,9875000,65,5,7623600,28522,1.29532,10.25843,1.60944,Middle East
United Arab Emirates,7/1/2010,10926019,78,7,7511690,39625,1.45454,10.58722,1.94591,Middle East
Kuwait,7/1/2010,4400000,38,11,2736732,45437,1.60776,10.72408,2.39790,Middle East
Qatar,7/1/2010,2329255,82,8,1758793,72398,1.32435,11.18993,2.07944,Middle East
Solomon Islands,7/1/2010,30000,5,27,538148,1261,0.05575,7.13966,3.29584,Oceania
Papua New Guinea,7/1/2010,1909078,1,61,6858266,1382,0.27836,7.23129,4.11087,Oceania
Kiribati,7/1/2010,10000,9,49,99546,1519,0.10046,7.32581,3.89182,Oceania
"Micronesia, Fed. Sts.",7/1/2010,27518,20,42,111064,2678,0.24777,7.89283,3.73767,Oceania
Vanuatu,7/1/2010,285300,8,14,239651,2875,1.19048,7.96381,2.63906,Oceania
Samoa,7/1/2010,167400,7,20,183081,3249,0.91435,8.08610,2.99573,Oceania
Tonga,7/1/2010,54300,12,16,104058,3435,0.52182,8.14177,2.77259,Oceania
Fiji,7/1/2010,697920,15,17,860623,3687,0.81095,8.21257,2.83321,Oceania
New Zealand,7/1/2010,5020000,83,6,4367800,32620,1.14932,10.39268,1.79176,Oceania
Australia,7/1/2010,22500000,76,5,22299800,50746,1.00898,10.83459,1.60944,Oceania
Haiti,7/1/2010,4000000,8,165,9993247,664,0.40027,6.49828,5.10595,The Americas
Nicaragua,7/1/2010,3770510,10,27,5788163,1139,0.65142,7.03791,3.29584,The Americas
Bolivia,7/1/2010,7179293,20,54,9929849,1979,0.72300,7.59035,3.98898,The Americas
Honduras,7/1/2010,9505071,11,24,7600524,2019,1.25058,7.61036,3.17805,The Americas
